item_name,item_type,unique_id,item_name_rp,item_type_rp,git_rp,item_name_hm,item_type_hm,item_name_hm_db,item_type_hm_db,item_name_rp_db,item_type_rp_db,item_name_rp_cf,item_type_rp_cf,item_name_hm_cf,item_type_hm_cf,dot_struc_cf,cat_1_cf,cat_1_name_cf,cat_2_cf,comment_cf,no_show_cf,sort_orig,unique_id_rp,unique_id_db,unique_id_hm,unique_id_cf,item_name_repo,item_type_repo,item_name_home,item_type_home,sort_out,st_docs,st_alert,dot_struc,st_db_all,st_misc,m_status_dict,m_consol_dict,m_status_result,m_consol_result,st_match_symb
.yarnrc,file,175,.yarnrc,file,True,.yarnrc,file_sym,.yarnrc,file_sym,.yarnrc,file,.yarnrc,file,.yarnrc,file_sym,rp>hm,swd,Software Development,pkg mgrs plus,Yarn package manager,False,27,175,336,246,411,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.node-gyp,folder,170,.node-gyp,folder,True,.node-gyp,folder_sym,.node-gyp,folder_sym,.node-gyp,folder,.node-gyp,folder,.node-gyp,folder_sym,rp>hm,swd,Software Development,pkg mgrs plus,Node.js native addon build tool,False,28,170,335,240,412,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.docker,folder,169,.docker,folder,True,.docker,folder,.docker,folder_sym,.docker,folder,.docker,folder,.docker,folder_sym,rp>hm,swd,Software Development,pkg mgrs plus,Docker containerization platform,False,29,169,337,239,413,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.gem,folder,223,.gem,folder,True,.gem,folder_sym,.gem,folder_sym,.gem,folder,.gem,folder,.gem,folder_sym,rp>hm,swd,Software Development,pkg mgrs plus,Ruby Gems (Ruby libraries and packages),False,30,223,338,305,414,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.vuerc,file,172,.vuerc,file,True,.vuerc,file_sym,.vuerc,file_sym,.vuerc,file,.vuerc,file,.vuerc,file_sym,rp>hm,swd,Software Development,frameworks,Vue.js configuration file,False,31,172,339,242,415,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.vue-cli-ui,folder,167,.vue-cli-ui,folder,True,.vue-cli-ui,folder_sym,.vue-cli-ui,folder_sym,.vue-cli-ui,folder,.vue-cli-ui,folder,.vue-cli-ui,folder_sym,rp>hm,swd,Software Development,frameworks,Vue.js CLI User Interface config,False,32,167,340,236,416,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.nuxtrc,file,166,.nuxtrc,file,True,.nuxtrc,file_sym,.nuxtrc,file_sym,.nuxtrc,file,.nuxtrc,file,.nuxtrc,file_sym,rp>hm,swd,Software Development,frameworks,Nuxt.js configuration file,False,33,166,341,235,417,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.ipython,folder,194,.ipython,folder,True,.ipython,folder_sym,.ipython,folder_sym,.ipython,folder,.ipython,folder,.ipython,folder_sym,rp>hm,swd,Software Development,python,Python interactive shell,False,36,194,344,269,420,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.pylint.d,folder,189,.pylint.d,folder,True,.pylint.d,folder_sym,.pylint.d,folder_sym,.pylint.d,folder,.pylint.d,folder,.pylint.d,folder_sym,rp>hm,swd,Software Development,python,Python linting tool,False,37,189,345,263,421,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.matplotlib,folder,197,.matplotlib,folder,True,.matplotlib,folder_sym,.matplotlib,folder_sym,.matplotlib,folder,.matplotlib,folder,.matplotlib,folder_sym,rp>hm,swd,Software Development,python,Python plotting library,False,38,197,346,272,422,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.streamlit,folder,187,.streamlit,folder,True,.streamlit,folder_sym,.streamlit,folder_sym,.streamlit,folder,.streamlit,folder,.streamlit,folder_sym,rp>hm,swd,Software Development,python,Python framework for creating interactive web apps,False,39,187,347,261,423,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.jupyter,folder,216,.jupyter,folder,True,.jupyter,folder_sym,.jupyter,folder_sym,.jupyter,folder,.jupyter,folder,.jupyter,folder_sym,rp>hm,swd,Software Development,python,Python interactive computing,False,40,216,348,296,424,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.vscode-react-native,folder,179,.vscode-react-native,folder,True,.vscode-react-native,folder_sym,.vscode-react-native,folder_sym,.vscode-react-native,folder,.vscode-react-native,folder,.vscode-react-native,folder_sym,rp>hm,swd,Software Development,microsoft,Visual Studio Code extension for React Native,False,42,179,350,252,426,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.dotnet,folder,211,.dotnet,folder,True,.dotnet,folder_sym,.dotnet,folder_sym,.dotnet,folder,.dotnet,folder,.dotnet,folder_sym,rp>hm,swd,Software Development,microsoft,.NET SDK,False,43,211,351,290,427,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.nuget,folder,193,.nuget,folder,True,.nuget,folder_sym,.nuget,folder_sym,.nuget,folder,.nuget,folder,.nuget,folder_sym,rp>hm,swd,Software Development,microsoft,.NET package manager,False,44,193,352,267,428,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.mono,folder,221,.mono,folder,True,.mono,folder_sym,.mono,folder_sym,.mono,folder,.mono,folder,.mono,folder_sym,rp>hm,swd,Software Development,microsoft,Mono runtime (cross-platform .NET),False,45,221,354,302,429,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.aspnet,folder,226,.aspnet,folder,True,.aspnet,folder_sym,.aspnet,folder_sym,.aspnet,folder,.aspnet,folder,.aspnet,folder_sym,rp>hm,swd,Software Development,microsoft,ASP.NET Core,False,46,226,353,308,430,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.ms_eclipsetemurinjdk_config,file,230,.ms_eclipsetemurinjdk_config,file,True,.ms_eclipsetemurinjdk_config,file_sym,.ms_eclipsetemurinjdk_config,file_sym,.ms_eclipsetemurinjdk_config,file,.ms_eclipsetemurinjdk_config,file,.ms_eclipsetemurinjdk_config,file_sym,rp>hm,swd,Software Development,microsoft,Microsoft Eclipse Temurin JDK configuration file,False,47,230,355,312,431,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.ms_openjdk_config,file,204,.ms_openjdk_config,file,True,.ms_openjdk_config,file_sym,.ms_openjdk_config,file_sym,.ms_openjdk_config,file,.ms_openjdk_config,file,.ms_openjdk_config,file_sym,rp>hm,swd,Software Development,microsoft,Microsoft OpenJDK configuration file,False,48,204,356,282,432,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.swiftpm,folder,224,.swiftpm,folder,True,.swiftpm,folder_sym,.swiftpm,folder_sym,.swiftpm,folder,.swiftpm,folder,.swiftpm,folder_sym,rp>hm,swd,Software Development,other,"Xcode: Stores Swift pkg dependencies, build artifacts, & md",False,49,224,357,306,433,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.quokka,folder,165,.quokka,folder,True,.quokka,folder_sym,.quokka,folder_sym,.quokka,folder,.quokka,folder,.quokka,folder_sym,rp>hm,swd,Software Development,other,debugging tool for JavaScript & TypeScript,False,50,165,360,234,434,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.sonar,folder,185,.sonar,folder,True,.sonar,folder_sym,.sonar,folder_sym,.sonar,folder,.sonar,folder,.sonar,folder_sym,rp>hm,swd,Software Development,other,"SonarQube, a tool for continuous inspection of code quality",False,51,185,359,259,435,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.flowise,folder,206,.flowise,folder,True,.flowise,folder_sym,.flowise,folder_sym,.flowise,folder,.flowise,folder,.flowise,folder_sym,rp>hm,swd,Software Development,other,LLM AI No-code coding tool,False,52,206,358,284,436,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.installbuilder,folder,225,.installbuilder,folder,True,.installbuilder,folder_sym,.installbuilder,folder_sym,.installbuilder,folder,.installbuilder,folder,.installbuilder,folder_sym,rp>hm,swd,Software Development,other,dev tool for building cross-platform installers for dtop & server sw,False,53,225,361,307,437,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.android,folder,199,.android,folder,True,.android,folder_sym,.android,folder_sym,.android,folder,.android,folder,.android,folder_sym,rp>hm,swd,Software Development,other,Android SDK,False,54,199,363,277,438,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.degit,folder,212,.degit,folder,True,.degit,folder_sym,.degit,folder_sym,.degit,folder,.degit,folder,.degit,folder_sym,rp>hm,swd,Software Development,other,quickly scaffold projects by downloading/extracting a repo,False,55,212,362,291,439,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.gitignore_global,file,200,.gitignore_global,file,True,.gitignore_global,file_sym,.gitignore_global,file_sym,.gitignore_global,file,.gitignore_global,file,.gitignore_global,file_sym,rp>hm,swd,Software Development,vcs git,Global .gitignore file,False,56,200,364,278,440,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.gitignore,file,208,.gitignore,file,True,,,,,,,.gitignore,file,.gitignore,none,rp,swd,Software Development,vcs git,Repo .gitignore file,False,57,208,0,0,441,,,,,-1,,,rp,,,{},{},True,True,O_O | ___ | o_
.gitflow_export,file,215,.gitflow_export,file,True,.gitflow_export,file,.gitflow_export,file_sym,.gitflow_export,file,.gitflow_export,file,.gitflow_export,file_sym,rp>hm,swd,Software Development,vcs git,GitFlow configuration file,False,59,215,366,295,443,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.gitconfig,file,229,.gitconfig,file,True,.gitconfig,file_sym,.gitconfig,file_sym,.gitconfig,file,.gitconfig,file,.gitconfig,file_sym,rp>hm,swd,Software Development,vcs git,Git configuration file,False,60,229,365,311,444,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.hgignore_global,file,177,.hgignore_global,file,True,.hgignore_global,file_sym,.hgignore_global,file_sym,.hgignore_global,file,.hgignore_global,file,.hgignore_global,file_sym,rp>hm,swd,Software Development,vcs other,Global .hgignore file,False,61,177,367,250,445,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.subversion,folder,181,.subversion,folder,True,.subversion,folder_sym,.subversion,folder_sym,.subversion,folder,.subversion,folder,.subversion,folder_sym,rp>hm,swd,Software Development,vcs other,Subversion configuration files,False,62,181,368,254,446,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.IdentityService,folder,198,.IdentityService,folder,True,.IdentityService,folder_sym,.IdentityService,folder_sym,.IdentityService,folder,.IdentityService,folder,.IdentityService,folder_sym,rp>hm,sys,System,macos,,False,66,198,372,274,450,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.DS_Store,file,171,.DS_Store,file,True,.DS_Store,file,,,,,.DS_Store,file,.DS_Store,file_sym,rp>hm,sys,System,macos,,True,67,171,0,241,451,,,,,-1,,Symlink Overwrite,,,,{},{},False,True,O_O | O_O | XX
.Trash,,0,,,,.Trash,folder,,,,,.Trash,none,.Trash,folder,hm,sys,System,macos,,True,68,0,0,293,452,,,,,-1,,,hm,,,{},{},True,True,___ | O_O | _o
.CFUserTextEncoding,file,176,.CFUserTextEncoding,file,True,.CFUserTextEncoding,file_sym,.CFUserTextEncoding,file_sym,.CFUserTextEncoding,file,.CFUserTextEncoding,file,.CFUserTextEncoding,file_sym,rp>hm,sys,System,macos,macOS - stores the user’s preferred text encoding settings,False,69,176,373,247,453,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.netrc,file,180,.netrc,file,True,.netrc,file_sym,.netrc,file_sym,.netrc,file,.netrc,file,.netrc,file_sym,rp>hm,sys,System,unix,Unix file stores login & init info for connecting to remote systems,False,70,180,374,253,454,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.thumbnails,folder,173,.thumbnails,folder,True,.thumbnails,folder_sym,.thumbnails,folder_sym,.thumbnails,folder,.thumbnails,folder,.thumbnails,folder_sym,rp>hm,sys,System,unix,Thumbnail cache,False,71,173,377,243,455,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.ssh,folder,210,.ssh,folder,True,.ssh,folder_sym,.ssh,folder_sym,.ssh,folder,.ssh,folder,.ssh,folder_sym,rp>hm,sys,System,unix,Unix SSH configuration files,False,72,210,375,289,456,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.fontconfig,folder,190,.fontconfig,folder,True,.fontconfig,folder_sym,.fontconfig,folder_sym,.fontconfig,folder,.fontconfig,folder,.fontconfig,folder_sym,rp>hm,sys,System,unix,Unix font configuration,False,73,190,376,264,457,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.lesshst,,0,,,,.lesshst,file,,,,,.lesshst,none,.lesshst,file,hm,sys,System,unix,command history file for the Unix less text viewer command,False,74,0,0,273,458,,,,,-1,,,hm,,,{},{},True,True,___ | O_O | _o
.cups,folder,201,.cups,folder,True,.cups,folder_sym,.cups,folder_sym,.cups,folder,.cups,folder,.cups,folder_sym,rp>hm,sys,System,unix,Common Unix Printing System,False,75,201,378,279,459,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
